method,configuration,scenario,split,packet_loss,loss_mask_id,prob_threshold,seconds,stage
cmappo_kl,tau=0.55,matched_budget_tau_sweep,val,0.0,,0.55,22.51999970000179,
cmappo_kl,tau=0.55,matched_budget_tau_sweep,val,0.0,,0.55,22.981384300001082,
cmappo_kl,tau=0.55,matched_budget_tau_sweep,val,0.0,,0.55,23.10110590000113,
cmappo_kl,tau=0.55,matched_budget_tau_sweep,val,0.0,,0.55,22.18481520000205,
cmappo_kl,tau=0.55,matched_budget_tau_sweep,val,0.0,,0.55,22.039709200005746,
cmappo_kl,tau=0.60,matched_budget_tau_sweep,val,0.0,,0.6,22.81950080000388,
cmappo_kl,tau=0.60,matched_budget_tau_sweep,val,0.0,,0.6,24.104105899998103,
cmappo_kl,tau=0.60,matched_budget_tau_sweep,val,0.0,,0.6,22.990690400009044,
cmappo_kl,tau=0.60,matched_budget_tau_sweep,val,0.0,,0.6,22.36092869999993,
cmappo_kl,tau=0.60,matched_budget_tau_sweep,val,0.0,,0.6,22.458575399999972,
cmappo_kl,tau=0.65,matched_budget_tau_sweep,val,0.0,,0.65,22.615854200004833,
cmappo_kl,tau=0.65,matched_budget_tau_sweep,val,0.0,,0.65,33.09953520000272,
cmappo_kl,tau=0.65,matched_budget_tau_sweep,val,0.0,,0.65,35.64893939999456,
cmappo_kl,tau=0.65,matched_budget_tau_sweep,val,0.0,,0.65,34.114983499996015,
cmappo_kl,tau=0.65,matched_budget_tau_sweep,val,0.0,,0.65,32.836089000003994,
cmappo_kl,tau=0.70,matched_budget_tau_sweep,val,0.0,,0.7,33.455166600004304,
cmappo_kl,tau=0.70,matched_budget_tau_sweep,val,0.0,,0.7,34.49474690000352,
cmappo_kl,tau=0.70,matched_budget_tau_sweep,val,0.0,,0.7,32.816487499992945,
cmappo_kl,tau=0.70,matched_budget_tau_sweep,val,0.0,,0.7,32.35111279999546,
cmappo_kl,tau=0.70,matched_budget_tau_sweep,val,0.0,,0.7,31.163852400000906,
,,,,,,,925.4149204999994,matched_budget_tau
