deveui,train_coverage,val_coverage,test_coverage,train_n_obs,train_std,train_mean,has_floor,in_final,exclusion_reason
A81758FFFE031077,0.7254871475953566,0.7145522388059702,0.8292910447761194,13999,249.40548098061225,494.3672405171798,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031078,0.798922056384743,0.8572761194029851,0.8725124378109452,15415,56.05703369542712,462.7346091469348,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031079,0.7464759535655058,0.8442164179104478,0.8659825870646766,14363,46.80208692884792,258.67270068927104,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03107A,0.6144796849087893,0.6553171641791045,0.6683768656716418,11856,109.83510287276172,504.3721322537112,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03107B,0.6766169154228856,0.744247512437811,0.820429104477612,13055,53.10239204564054,363.4456530065109,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03107C,0.8031198175787728,0.8125,0.8610074626865671,15496,53.52333367160322,547.7449019101704,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03107D,0.8192371475953566,0.8662935323383084,0.8137437810945274,15807,28.825079928411185,421.9992408426646,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03107E,0.7822346600331676,0.8288246268656716,0.8694029850746269,15093,61.48789092618738,487.6357914264891,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03107F,0.544931592039801,0.5376243781094527,0.4118470149253731,10514,64.33644198534999,437.2938938558113,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031080,0.8003731343283582,0.8603855721393034,0.8810634328358209,15444,45.505376616976164,424.15203315203314,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031081,0.812448175787728,0.8362873134328358,0.8958333333333334,15677,34.79406017432905,384.4697965171908,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031082,0.7600020729684909,0.8694029850746269,0.8667599502487562,0,0.0,,True,False,few_train_obs|low_variability
A81758FFFE031083,0.7549751243781094,0.8491915422885572,0.8689365671641791,14567,48.97695459913966,466.04674950229975,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031084,0.7721289386401327,0.8731343283582089,0.8860385572139303,14898,94.46940915556765,577.1725063766949,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031085,0.8157131011608624,0.857431592039801,0.880907960199005,15740,55.329830992655545,436.8851334180432,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031086,0.7653399668325042,0.7821828358208955,0.8603855721393034,14767,49.93392093724895,467.908783097447,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031087,0.8216728855721394,0.9045398009950248,0.8871268656716418,15855,37.989180004957014,410.05846736045413,True,False,beyond_final_n_cap_or_node_order
A81758FFFE031089,0.6866189883913765,0.6979166666666666,0.7386504975124378,13248,99.1649709146635,499.50981280193236,True,False,beyond_final_n_cap_or_node_order
A81758FFFE03108A,0.7655472636815921,0.7764303482587065,0.8313121890547264,14772,24.73518791240308,388.57940698619007,True,False,beyond_final_n_cap_or_node_order
